[OVERALL], RunTime(ms), 5002.0
[OVERALL], Throughput(ops/sec), 313.87445021991203
[TOTAL_GCS_Copy], Count, 56.0
[TOTAL_GC_TIME_Copy], Time(ms), 135.0
[TOTAL_GC_TIME_%_Copy], Time(%), 2.6989204318272693
[TOTAL_GCS_MarkSweepCompact], Count, 3.0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 79.0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 1.5793682526989206
[TOTAL_GCs], Count, 59.0
[TOTAL_GC_TIME], Time(ms), 214.0
[TOTAL_GC_TIME_%], Time(%), 4.278288684526189
[READ], Operations, 804.0
[READ], AverageLatency(us), 1772.7425373134329
[READ], MinLatency(us), 600.0
[READ], MaxLatency(us), 16879.0
[READ], 95thPercentileLatency(us), 3947.0
[READ], 99thPercentileLatency(us), 10215.0
[READ], Return=OK, 804
[CLEANUP], Operations, 2.0
[CLEANUP], AverageLatency(us), 4.0
[CLEANUP], MinLatency(us), 1.0
[CLEANUP], MaxLatency(us), 7.0
[CLEANUP], 95thPercentileLatency(us), 7.0
[CLEANUP], 99thPercentileLatency(us), 7.0
[UPDATE], Operations, 1766.0
[UPDATE], AverageLatency(us), 3483.7078142695354
[UPDATE], MinLatency(us), 2082.0
[UPDATE], MaxLatency(us), 94847.0
[UPDATE], 95thPercentileLatency(us), 6419.0
[UPDATE], 99thPercentileLatency(us), 13951.0
[UPDATE], Return=OK, 1766
